Designator,Mid X,Mid Y,Rotation,Layer
C1,139.033542,-107.622804,0.0,top
C2,161.75,-113.0,0.0,top
C3,154.0,-124.5,180.0,top
C4,147.0,-126.0,0.0,top
C5,145.225,-101.49,0.0,top
C6,145.225,-104.0,0.0,top
C7,153.0,-102.525,90.0,top
D1,102.0,-127.2125,90.0,top
D2,131.2125,-129.5,0.0,top
D3,131.2125,-132.09,0.0,top
D4,131.2125,-134.68,0.0,top
D5,131.2125,-137.27,0.0,top
J1,112.0,-131.19,0.0,top
J2,150.46,-137.0,270.0,top
J3,150.46,-92.0,270.0,top
J4,168.0,-105.46,180.0,top
J5,135.46,-95.0,180.0,top
J6,168.0,-118.21,0.0,top
J7,99.14,-100.89,0.0,top
J8,122.0,-100.89,0.0,top
J9,167.5,-127.73,0.0,top
R1,139.075,-112.0,180.0,top
R2,139.075,-114.0,0.0,top
R3,102.0,-121.5375,270.0,top
R4,138.0375,-126.0,180.0,top
R5,138.0375,-129.5,180.0,top
R6,138.0375,-133.0,180.0,top
R7,138.0375,-136.5,180.0,top
U1,151.0,-114.0,270.0,top
